project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
1761569,2018-03-08,0,{},0,0,0,0,0,0,0,0,1
1761569,2018-03-09,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-10,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-11,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-12,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-13,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-14,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-15,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-16,0,{11374570: 1},1,0,0,0,0,0,0,0,0
1761569,2018-03-17,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-18,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-19,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-20,0,{},0,0,0,0,0,0,0,0,1
1761569,2018-03-21,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-22,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-23,0,{1250728: 1},1,0,0,0,0,0,0,0,0
1761569,2018-03-24,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-25,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-26,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-27,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-28,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-29,1,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-30,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-03-31,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-01,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-02,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-03,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-04,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-05,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-06,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-07,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-08,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-09,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-10,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-11,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-12,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-13,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-14,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-15,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-16,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-17,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-18,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-19,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-20,0,{11651: 1},1,0,0,0,0,0,0,0,0
1761569,2018-04-21,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-22,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-23,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-24,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-25,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-26,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-27,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-28,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-29,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-04-30,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-01,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-02,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-03,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-04,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-05,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-06,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-07,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-08,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-09,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-10,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-11,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-12,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-13,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-14,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-15,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-16,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-17,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-18,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-19,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-20,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-21,0,{},0,0,0,0,0,0,0,0,0
1761569,2018-05-22,0,{},0,0,0,0,0,0,0,0,1
1761569,2018-05-23,0,{11651: 1},1,0,0,0,0,0,0,0,0
